	WCC0	WCC1	WCC2	WCC3	WCR0	WCR1	WCR2	WCR3
ASV2645	0	2	0	0	0	5	0	7
ASV2646	0	0	6	4	0	4	0	0
ASV2647	0	0	0	11	0	0	3	0
ASV2648	0	0	0	0	14	0	0	0
ASV2649	0	0	0	0	14	0	0	0
ASV2650	0	0	0	0	14	0	0	0
ASV2651	0	0	0	0	14	0	0	0
ASV2652	0	0	0	0	0	10	4	0
ASV2653	0	0	0	0	0	0	0	14
ASV2654	0	0	0	0	0	0	0	14
ASV2655	0	0	0	0	0	0	0	14
ASV2684	0	0	0	0	0	0	6	0
ASV2694	0	0	0	0	0	0	0	12
ASV2781	13	0	0	0	0	0	0	0
ASV2783	8	0	5	0	0	0	0	0
ASV2784	0	13	0	0	0	0	0	0
ASV2785	0	13	0	0	0	0	0	0
ASV2786	0	0	13	0	0	0	0	0
ASV2787	0	0	8	5	0	0	0	0
ASV2788	0	0	0	13	0	0	0	0
ASV2789	0	0	0	0	13	0	0	0
ASV2790	0	0	0	0	13	0	0	0
ASV2791	0	0	0	0	0	13	0	0
ASV2793	0	0	0	0	0	0	4	9
ASV2794	0	0	0	0	0	0	0	13
ASV2795	0	0	0	0	0	0	0	13
ASV2831	0	0	0	0	0	0	0	4
ASV2836	0	0	0	0	0	0	0	5
ASV2951	12	0	0	0	0	0	0	0
ASV2952	12	0	0	0	0	0	0	0
ASV2953	0	12	0	0	0	0	0	0
ASV2955	0	3	5	0	4	0	0	0
ASV2956	0	0	0	12	0	0	0	0
ASV2957	0	0	0	0	12	0	0	0
ASV2958	0	0	0	0	0	12	0	0
ASV2960	0	0	0	0	0	0	12	0
ASV2961	0	0	0	0	0	0	0	12
ASV2962	0	0	0	0	0	0	0	12
ASV3067	0	0	0	7	0	0	0	0
ASV3137	11	0	0	0	0	0	0	0
ASV3138	11	0	0	0	0	0	0	0
ASV3139	11	0	0	0	0	0	0	0
ASV3141	0	11	0	0	0	0	0	0
ASV3144	0	0	11	0	0	0	0	0
ASV3145	0	0	0	11	0	0	0	0
ASV3146	0	0	0	0	11	0	0	0
ASV3147	0	0	0	0	11	0	0	0
ASV3148	0	0	0	0	0	0	0	11
ASV3149	0	0	0	0	0	0	0	11
ASV3150	0	0	0	0	0	0	0	11
ASV3151	0	0	0	0	0	0	0	11
ASV3152	0	0	0	0	0	0	0	11
ASV3153	0	0	0	0	0	0	0	11
ASV3154	0	0	0	0	0	0	0	11
ASV3163	0	0	0	0	0	0	7	0
ASV3207	0	0	0	0	0	0	0	4
ASV3219	0	7	0	0	0	0	0	0
ASV3351	10	0	0	0	0	0	0	0
ASV3352	10	0	0	0	0	0	0	0
ASV3354	0	10	0	0	0	0	0	0
ASV3358	0	0	0	10	0	0	0	0
ASV3360	0	0	0	0	10	0	0	0
ASV3361	0	0	0	0	10	0	0	0
ASV3362	0	0	0	0	10	0	0	0
ASV3363	0	0	0	0	0	10	0	0
ASV3364	0	0	0	0	0	0	10	0
ASV3365	0	0	0	0	0	0	0	10
ASV3366	0	0	0	0	0	0	0	10
ASV3367	0	0	0	0	0	0	0	10
ASV3368	0	0	0	0	0	0	0	10
ASV3419	0	0	0	0	0	0	0	4
ASV3440	0	0	4	0	0	0	0	0
ASV3568	9	0	0	0	0	0	0	0
ASV3569	9	0	0	0	0	0	0	0
ASV3570	9	0	0	0	0	0	0	0
ASV3573	9	0	0	0	0	0	0	0
ASV3575	0	9	0	0	0	0	0	0
ASV3577	0	9	0	0	0	0	0	0
ASV3578	0	9	0	0	0	0	0	0
ASV3579	0	0	9	0	0	0	0	0
ASV3580	0	0	5	4	0	0	0	0
ASV3582	0	0	0	0	9	0	0	0
ASV3583	0	0	0	0	9	0	0	0
ASV3584	0	0	0	0	0	9	0	0
ASV3585	0	0	0	0	0	9	0	0
ASV3586	0	0	0	0	0	9	0	0
ASV3587	0	0	0	0	0	9	0	0
ASV3588	0	0	0	0	0	9	0	0
ASV3590	0	0	0	0	0	0	0	9
ASV3591	0	0	0	0	0	0	0	9
ASV3592	0	0	0	0	0	0	0	9
ASV3593	0	0	0	0	0	0	0	9
ASV3594	0	0	0	0	0	0	0	9
ASV3595	0	0	0	0	0	0	0	7
ASV3636	0	0	0	0	0	0	0	5
ASV3643	0	0	0	0	0	0	0	3
ASV3798	0	0	0	0	0	0	3	0
ASV3799	8	0	0	0	0	0	0	0
ASV3800	8	0	0	0	0	0	0	0
ASV3801	0	8	0	0	0	0	0	0
ASV3802	0	8	0	0	0	0	0	0
ASV3803	0	0	8	0	0	0	0	0
ASV3804	0	0	8	0	0	0	0	0
ASV3805	0	0	8	0	0	0	0	0
ASV3806	0	0	8	0	0	0	0	0
ASV3807	0	0	8	0	0	0	0	0
ASV3808	0	0	4	4	0	0	0	0
ASV3809	0	0	0	8	0	0	0	0
ASV3810	0	0	0	8	0	0	0	0
ASV3811	0	0	0	0	8	0	0	0
ASV3812	0	0	0	0	8	0	0	0
ASV3813	0	0	0	0	8	0	0	0
ASV3814	0	0	0	0	8	0	0	0
ASV3815	0	0	0	0	8	0	0	0
ASV3816	0	0	0	0	0	8	0	0
ASV3817	0	0	0	0	0	0	2	6
ASV3818	0	0	0	0	0	0	0	8
ASV3819	0	0	0	0	0	0	0	8
ASV3820	0	0	0	0	0	0	0	8
ASV3821	0	0	0	0	0	0	0	8
ASV3822	0	0	0	0	0	0	0	8
ASV3893	0	0	0	0	0	0	0	2
ASV4021	0	0	0	0	0	0	0	1
ASV4049	7	0	0	0	0	0	0	0
ASV4052	7	0	0	0	0	0	0	0
ASV4053	7	0	0	0	0	0	0	0
ASV4055	0	7	0	0	0	0	0	0
ASV4057	0	7	0	0	0	0	0	0
ASV4059	0	4	3	0	0	0	0	0
ASV4060	0	0	7	0	0	0	0	0
ASV4062	0	0	7	0	0	0	0	0
ASV4064	0	0	0	7	0	0	0	0
ASV4065	0	0	0	0	7	0	0	0
ASV4066	0	0	0	0	7	0	0	0
ASV4067	0	0	0	0	7	0	0	0
ASV4068	0	0	0	0	7	0	0	0
ASV4069	0	0	0	0	0	7	0	0
ASV4070	0	0	0	0	0	7	0	0
ASV4071	0	0	0	0	0	0	7	0
ASV4072	0	0	0	0	0	0	0	7
ASV4073	0	0	0	0	0	0	0	7
ASV4074	0	0	0	0	0	0	0	7
ASV4075	0	0	0	0	0	0	0	7
ASV4076	0	0	0	0	0	0	0	7
ASV4077	0	0	0	0	0	0	0	7
ASV4149	0	0	0	0	0	0	0	3
ASV4338	6	0	0	0	0	0	0	0
ASV4339	6	0	0	0	0	0	0	0
ASV4340	0	6	0	0	0	0	0	0
ASV4341	0	6	0	0	0	0	0	0
ASV4342	0	6	0	0	0	0	0	0
ASV4344	0	0	6	0	0	0	0	0
ASV4345	0	0	6	0	0	0	0	0
ASV4346	0	0	6	0	0	0	0	0
ASV4347	0	0	6	0	0	0	0	0
ASV4348	0	0	6	0	0	0	0	0
ASV4349	0	0	3	3	0	0	0	0
ASV4350	0	0	0	6	0	0	0	0
ASV4353	0	0	0	0	6	0	0	0
ASV4354	0	0	0	0	3	0	0	3
ASV4355	0	0	0	0	2	0	0	4
ASV4356	0	0	0	0	0	6	0	0
ASV4357	0	0	0	0	0	6	0	0
ASV4358	0	0	0	0	0	6	0	0
ASV4359	0	0	0	0	0	6	0	0
ASV4360	0	0	0	0	0	6	0	0
ASV4362	0	0	0	0	0	6	0	0
ASV4363	0	0	0	0	0	0	6	0
ASV4365	0	0	0	0	0	0	6	0
ASV4367	0	0	0	0	0	0	6	0
ASV4368	0	0	0	0	0	0	6	0
ASV4369	0	0	0	0	0	0	6	0
ASV4370	0	0	0	0	0	0	0	6
ASV4371	0	0	0	0	0	0	0	6
ASV4466	0	0	0	0	0	0	0	2
ASV4641	5	0	0	0	0	0	0	0
ASV4643	5	0	0	0	0	0	0	0
ASV4644	3	0	2	0	0	0	0	0
ASV4645	0	5	0	0	0	0	0	0
ASV4646	0	5	0	0	0	0	0	0
ASV4648	0	5	0	0	0	0	0	0
ASV4650	0	5	0	0	0	0	0	0
ASV4651	0	0	5	0	0	0	0	0
ASV4652	0	0	5	0	0	0	0	0
ASV4653	0	0	0	5	0	0	0	0
ASV4654	0	0	0	5	0	0	0	0
ASV4655	0	0	0	5	0	0	0	0
ASV4656	0	0	0	5	0	0	0	0
ASV4657	0	0	0	5	0	0	0	0
ASV4658	0	0	0	5	0	0	0	0
ASV4659	0	0	0	5	0	0	0	0
ASV4660	0	0	0	0	5	0	0	0
ASV4661	0	0	0	0	5	0	0	0
ASV4663	0	0	0	0	5	0	0	0
ASV4664	0	0	0	0	5	0	0	0
ASV4665	0	0	0	0	5	0	0	0
ASV4666	0	0	0	0	5	0	0	0
ASV4667	0	0	0	0	0	5	0	0
ASV4668	0	0	0	0	0	5	0	0
ASV4669	0	0	0	0	0	5	0	0
ASV4670	0	0	0	0	0	5	0	0
ASV4671	0	0	0	0	0	0	5	0
ASV4672	0	0	0	0	0	0	5	0
ASV4673	0	0	0	0	0	0	5	0
ASV4675	0	0	0	0	0	0	5	0
ASV4676	0	0	0	0	0	0	5	0
ASV4677	0	0	0	0	0	0	0	5
ASV4678	0	0	0	0	0	0	0	5
ASV4679	0	0	0	0	0	0	0	5
ASV4680	0	0	0	0	0	0	0	5
ASV4681	0	0	0	0	0	0	0	5
ASV4682	0	0	0	0	0	0	0	5
ASV4683	0	0	0	0	0	0	0	5
ASV4684	0	0	0	0	0	0	0	5
ASV4772	0	0	0	0	0	0	0	1
ASV4993	4	0	0	0	0	0	0	0
ASV4995	4	0	0	0	0	0	0	0
ASV4996	4	0	0	0	0	0	0	0
ASV4997	4	0	0	0	0	0	0	0
ASV4998	4	0	0	0	0	0	0	0
ASV4999	4	0	0	0	0	0	0	0
ASV5000	4	0	0	0	0	0	0	0
ASV5001	0	4	0	0	0	0	0	0
ASV5002	0	4	0	0	0	0	0	0
ASV5003	0	4	0	0	0	0	0	0
ASV5004	0	4	0	0	0	0	0	0
ASV5006	0	4	0	0	0	0	0	0
ASV5007	0	0	4	0	0	0	0	0
ASV5008	0	0	4	0	0	0	0	0
ASV5010	0	0	4	0	0	0	0	0
ASV5011	0	0	4	0	0	0	0	0
ASV5012	0	0	4	0	0	0	0	0
ASV5013	0	0	0	4	0	0	0	0
ASV5015	0	0	0	4	0	0	0	0
ASV5017	0	0	0	0	4	0	0	0
ASV5018	0	0	0	0	4	0	0	0
ASV5020	0	0	0	0	4	0	0	0
ASV5021	0	0	0	0	4	0	0	0
ASV5022	0	0	0	0	4	0	0	0
ASV5023	0	0	0	0	4	0	0	0
ASV5024	0	0	0	0	4	0	0	0
ASV5025	0	0	0	0	4	0	0	0
ASV5026	0	0	0	0	4	0	0	0
ASV5027	0	0	0	0	4	0	0	0
ASV5028	0	0	0	0	4	0	0	0
ASV5029	0	0	0	0	4	0	0	0
ASV5030	0	0	0	0	0	4	0	0
ASV5031	0	0	0	0	0	4	0	0
ASV5032	0	0	0	0	0	4	0	0
ASV5033	0	0	0	0	0	0	4	0
ASV5034	0	0	0	0	0	0	4	0
ASV5036	0	0	0	0	0	0	0	4
ASV5037	0	0	0	0	0	0	0	4
ASV5038	0	0	0	0	0	0	0	4
ASV5039	0	0	0	0	0	0	0	4
ASV5040	0	0	0	0	0	0	0	4
ASV5041	0	0	0	0	0	0	0	4
ASV5042	0	0	0	0	0	0	0	4
ASV5043	0	0	0	0	0	0	0	4
ASV5349	3	0	0	0	0	0	0	0
ASV5350	3	0	0	0	0	0	0	0
ASV5351	3	0	0	0	0	0	0	0
ASV5352	3	0	0	0	0	0	0	0
ASV5353	3	0	0	0	0	0	0	0
ASV5354	3	0	0	0	0	0	0	0
ASV5355	3	0	0	0	0	0	0	0
ASV5356	3	0	0	0	0	0	0	0
ASV5357	3	0	0	0	0	0	0	0
ASV5359	3	0	0	0	0	0	0	0
ASV5361	3	0	0	0	0	0	0	0
ASV5362	3	0	0	0	0	0	0	0
ASV5363	3	0	0	0	0	0	0	0
ASV5364	0	3	0	0	0	0	0	0
ASV5367	0	3	0	0	0	0	0	0
ASV5370	0	3	0	0	0	0	0	0
ASV5371	0	3	0	0	0	0	0	0
ASV5372	0	3	0	0	0	0	0	0
ASV5373	0	0	3	0	0	0	0	0
ASV5374	0	0	3	0	0	0	0	0
ASV5375	0	0	3	0	0	0	0	0
ASV5376	0	0	3	0	0	0	0	0
ASV5377	0	0	3	0	0	0	0	0
ASV5380	0	0	3	0	0	0	0	0
ASV5381	0	0	3	0	0	0	0	0
ASV5382	0	0	3	0	0	0	0	0
ASV5383	0	0	3	0	0	0	0	0
ASV5384	0	0	0	3	0	0	0	0
ASV5385	0	0	0	3	0	0	0	0
ASV5387	0	0	0	3	0	0	0	0
ASV5388	0	0	0	3	0	0	0	0
ASV5389	0	0	0	0	3	0	0	0
ASV5390	0	0	0	0	3	0	0	0
ASV5391	0	0	0	0	3	0	0	0
ASV5393	0	0	0	0	3	0	0	0
ASV5394	0	0	0	0	3	0	0	0
ASV5395	0	0	0	0	3	0	0	0
ASV5396	0	0	0	0	3	0	0	0
ASV5397	0	0	0	0	3	0	0	0
ASV5399	0	0	0	0	0	3	0	0
ASV5400	0	0	0	0	0	3	0	0
ASV5401	0	0	0	0	0	3	0	0
ASV5403	0	0	0	0	0	0	3	0
ASV5404	0	0	0	0	0	0	3	0
ASV5405	0	0	0	0	0	0	3	0
ASV5406	0	0	0	0	0	0	3	0
ASV5407	0	0	0	0	0	0	3	0
ASV5408	0	0	0	0	0	0	3	0
ASV5409	0	0	0	0	0	0	3	0
ASV5410	0	0	0	0	0	0	0	3
ASV5411	0	0	0	0	0	0	0	3
ASV5412	0	0	0	0	0	0	0	3
ASV5413	0	0	0	0	0	0	0	3
ASV5414	0	0	0	0	0	0	0	3
ASV5415	0	0	0	0	0	0	0	3
ASV5416	0	0	0	0	0	0	0	3
ASV5417	0	0	0	0	0	0	0	3
ASV5418	0	0	0	0	0	0	0	3
ASV5419	0	0	0	0	0	0	0	3
ASV5420	0	0	0	0	0	0	0	3
ASV5421	0	0	0	0	0	0	0	3
ASV5788	2	0	0	0	0	0	0	0
ASV5789	2	0	0	0	0	0	0	0
ASV5790	2	0	0	0	0	0	0	0
ASV5791	2	0	0	0	0	0	0	0
ASV5792	2	0	0	0	0	0	0	0
ASV5793	2	0	0	0	0	0	0	0
ASV5794	2	0	0	0	0	0	0	0
ASV5796	2	0	0	0	0	0	0	0
ASV5798	2	0	0	0	0	0	0	0
ASV5799	2	0	0	0	0	0	0	0
ASV5800	2	0	0	0	0	0	0	0
ASV5801	2	0	0	0	0	0	0	0
ASV5803	2	0	0	0	0	0	0	0
ASV5804	2	0	0	0	0	0	0	0
ASV5805	2	0	0	0	0	0	0	0
ASV5806	2	0	0	0	0	0	0	0
ASV5807	2	0	0	0	0	0	0	0
ASV5808	2	0	0	0	0	0	0	0
ASV5809	2	0	0	0	0	0	0	0
ASV5810	0	2	0	0	0	0	0	0
ASV5811	0	2	0	0	0	0	0	0
ASV5812	0	2	0	0	0	0	0	0
ASV5813	0	2	0	0	0	0	0	0
ASV5814	0	2	0	0	0	0	0	0
ASV5815	0	2	0	0	0	0	0	0
ASV5816	0	2	0	0	0	0	0	0
ASV5818	0	2	0	0	0	0	0	0
ASV5820	0	2	0	0	0	0	0	0
ASV5821	0	0	2	0	0	0	0	0
ASV5822	0	0	2	0	0	0	0	0
ASV5823	0	0	2	0	0	0	0	0
ASV5824	0	0	2	0	0	0	0	0
ASV5825	0	0	2	0	0	0	0	0
ASV5826	0	0	2	0	0	0	0	0
ASV5828	0	0	2	0	0	0	0	0
ASV5829	0	0	2	0	0	0	0	0
ASV5830	0	0	0	2	0	0	0	0
ASV5831	0	0	0	2	0	0	0	0
ASV5832	0	0	0	0	2	0	0	0
ASV5833	0	0	0	0	2	0	0	0
ASV5834	0	0	0	0	2	0	0	0
ASV5835	0	0	0	0	2	0	0	0
ASV5836	0	0	0	0	2	0	0	0
ASV5838	0	0	0	0	2	0	0	0
ASV5839	0	0	0	0	2	0	0	0
ASV5840	0	0	0	0	2	0	0	0
ASV5841	0	0	0	0	2	0	0	0
ASV5842	0	0	0	0	2	0	0	0
ASV5843	0	0	0	0	2	0	0	0
ASV5844	0	0	0	0	2	0	0	0
ASV5845	0	0	0	0	2	0	0	0
ASV5846	0	0	0	0	2	0	0	0
ASV5847	0	0	0	0	2	0	0	0
ASV5848	0	0	0	0	2	0	0	0
ASV5849	0	0	0	0	2	0	0	0
ASV5850	0	0	0	0	2	0	0	0
ASV5851	0	0	0	0	2	0	0	0
ASV5852	0	0	0	0	2	0	0	0
ASV5853	0	0	0	0	0	2	0	0
ASV5854	0	0	0	0	0	2	0	0
ASV5855	0	0	0	0	0	2	0	0
ASV5856	0	0	0	0	0	2	0	0
ASV5857	0	0	0	0	0	2	0	0
ASV5858	0	0	0	0	0	2	0	0
ASV5860	0	0	0	0	0	0	2	0
ASV5861	0	0	0	0	0	0	2	0
ASV5863	0	0	0	0	0	0	2	0
ASV5864	0	0	0	0	0	0	2	0
ASV5865	0	0	0	0	0	0	2	0
ASV5866	0	0	0	0	0	0	2	0
ASV5867	0	0	0	0	0	0	2	0
ASV5868	0	0	0	0	0	0	2	0
ASV5869	0	0	0	0	0	0	2	0
ASV5870	0	0	0	0	0	0	2	0
ASV5871	0	0	0	0	0	0	2	0
ASV5872	0	0	0	0	0	0	2	0
ASV5874	0	0	0	0	0	0	2	0
ASV5875	0	0	0	0	0	0	2	0
ASV5876	0	0	0	0	0	0	0	2
ASV5877	0	0	0	0	0	0	0	2
ASV5878	0	0	0	0	0	0	0	2
ASV5879	0	0	0	0	0	0	0	2
ASV5880	0	0	0	0	0	0	0	2
ASV5881	0	0	0	0	0	0	0	2
ASV5882	0	0	0	0	0	0	0	2
ASV5883	0	0	0	0	0	0	0	2
ASV5884	0	0	0	0	0	0	0	2
ASV5885	0	0	0	0	0	0	0	2
ASV5886	0	0	0	0	0	0	0	2
ASV5887	0	0	0	0	0	0	0	2
ASV5888	0	0	0	0	0	0	0	2
ASV5889	0	0	0	0	0	0	0	2
ASV5890	0	0	0	0	0	0	0	2
ASV5891	0	0	0	0	0	0	0	2
ASV5892	0	0	0	0	0	0	0	2
ASV5893	0	0	0	0	0	0	0	2
ASV6113	1	0	0	0	0	0	0	0
ASV6114	1	0	0	0	0	0	0	0
ASV6115	1	0	0	0	0	0	0	0
ASV6116	1	0	0	0	0	0	0	0
ASV6117	1	0	0	0	0	0	0	0
ASV6118	1	0	0	0	0	0	0	0
ASV6119	0	1	0	0	0	0	0	0
ASV6120	0	1	0	0	0	0	0	0
ASV6122	0	0	1	0	0	0	0	0
ASV6125	0	0	0	1	0	0	0	0
ASV6126	0	0	0	0	1	0	0	0
ASV6127	0	0	0	0	1	0	0	0
ASV6128	0	0	0	0	1	0	0	0
ASV6129	0	0	0	0	0	1	0	0
ASV6130	0	0	0	0	0	1	0	0
ASV6131	0	0	0	0	0	1	0	0
ASV6132	0	0	0	0	0	1	0	0
ASV6133	0	0	0	0	0	1	0	0
ASV6134	0	0	0	0	0	0	1	0
ASV6135	0	0	0	0	0	0	1	0
ASV6136	0	0	0	0	0	0	1	0
ASV6137	0	0	0	0	0	0	1	0
ASV6138	0	0	0	0	0	0	1	0
ASV6139	0	0	0	0	0	0	1	0
ASV6140	0	0	0	0	0	0	1	0
ASV6141	0	0	0	0	0	0	0	1
ASV6142	0	0	0	0	0	0	0	1
ASV6143	0	0	0	0	0	0	0	1
ASV6144	0	0	0	0	0	0	0	1
ASV6145	0	0	0	0	0	0	0	1
ASV6146	0	0	0	0	0	0	0	1
ASV6147	0	0	0	0	0	0	0	1
ASV6148	0	0	0	0	0	0	0	1
ASV6149	0	0	0	0	0	0	0	1
ASV6150	0	0	0	0	0	0	0	1
ASV6151	0	0	0	0	0	0	0	1
ASV6152	0	0	0	0	0	0	0	1
ASV6153	0	0	0	0	0	0	0	1
ASV6154	0	0	0	0	0	0	0	1
ASV6155	0	0	0	0	0	0	0	1
ASV6156	0	0	0	0	0	0	0	1
ASV6157	0	0	0	0	0	0	0	1
ASV6158	0	0	0	0	0	0	0	1
